Concept_ID,Concept,Sentence_Nr,Sentence_Screen,Concept_Word,Word_Start,Word_End,Screen_Img,Noise_Img
8,Beer,4,She ordered a margarita after the beer.,beer,34,38,stimuli/sentence_images/beer/sentence4.jpg,stimuli/noise_images/beer/noise4.jpg
8,Beer,5,All she wants today is a pint of beer.,beer,33,37,stimuli/sentence_images/beer/sentence5.jpg,stimuli/noise_images/beer/noise5.jpg
8,Beer,6,He was thirsty for the beer in the fridge.,beer,23,27,stimuli/sentence_images/beer/sentence6.jpg,stimuli/noise_images/beer/noise6.jpg
9,Road,1,The bus blocked the entire road.,road,27,31,stimuli/sentence_images/road/sentence1.jpg,stimuli/noise_images/road/noise1.jpg
9,Road,2,The tunnel cut through the main road.,road,32,36,stimuli/sentence_images/road/sentence2.jpg,stimuli/noise_images/road/noise2.jpg
9,Road,3,The sidewalk runs alongside the road.,road,32,36,stimuli/sentence_images/road/sentence3.jpg,stimuli/noise_images/road/noise3.jpg
9,Road,4,The road pileup didn't clear for hours.,road,4,8,stimuli/sentence_images/road/sentence4.jpg,stimuli/noise_images/road/noise4.jpg
9,Road,5,"Surprisingly, the main road only has one lane.",road,23,27,stimuli/sentence_images/road/sentence5.jpg,stimuli/noise_images/road/noise5.jpg
9,Road,6,The tollbooth was at the end of the road.,road,36,40,stimuli/sentence_images/road/sentence6.jpg,stimuli/noise_images/road/noise6.jpg
10,Dog,1,The man was able to rescue the dog.,dog,31,34,stimuli/sentence_images/dog/sentence1.jpg,stimuli/noise_images/dog/noise1.jpg
10,Dog,2,The shelter worker took care of the dog.,dog,36,39,stimuli/sentence_images/dog/sentence2.jpg,stimuli/noise_images/dog/noise2.jpg
10,Dog,3,Her dog's temperament matched her own.,dog,4,7,stimuli/sentence_images/dog/sentence3.jpg,stimuli/noise_images/dog/noise3.jpg
10,Dog,4,A dog is a great companion.,dog,2,5,stimuli/sentence_images/dog/sentence4.jpg,stimuli/noise_images/dog/noise4.jpg
10,Dog,5,The spaniel was a terrible dog.,dog,27,30,stimuli/sentence_images/dog/sentence5.jpg,stimuli/noise_images/dog/noise5.jpg
10,Dog,6,The vet didn't want a dog of her own.,dog,22,25,stimuli/sentence_images/dog/sentence6.jpg,stimuli/noise_images/dog/noise6.jpg
11,Collection,1,She loves her collection of antiques.,collection,14,24,stimuli/sentence_images/collection/sentence1.jpg,stimuli/noise_images/collection/noise1.jpg
11,Collection,2,He hoarded a collection of autographs.,collection,13,23,stimuli/sentence_images/collection/sentence2.jpg,stimuli/noise_images/collection/noise2.jpg
11,Collection,3,Her souvenir collection began in childhood.,collection,13,23,stimuli/sentence_images/collection/sentence3.jpg,stimuli/noise_images/collection/noise3.jpg
11,Collection,4,He stole a stamp to complete his collection.,collection,33,43,stimuli/sentence_images/collection/sentence4.jpg,stimuli/noise_images/collection/noise4.jpg
11,Collection,5,The item isn't worth adding to the collection.,collection,35,45,stimuli/sentence_images/collection/sentence5.jpg,stimuli/noise_images/collection/noise5.jpg
11,Collection,6,She assembled a collection of auction items.,collection,16,26,stimuli/sentence_images/collection/sentence6.jpg,stimuli/noise_images/collection/noise6.jpg
12,Dedication,1,His dedication shows how passionate he is.,dedication,4,14,stimuli/sentence_images/dedication/sentence1.jpg,stimuli/noise_images/dedication/noise1.jpg
12,Dedication,2,His dedication makes him so succesful.,dedication,4,14,stimuli/sentence_images/dedication/sentence2.jpg,stimuli/noise_images/dedication/noise2.jpg
12,Dedication,3,Her dedication spurred her pursuit.,dedication,4,14,stimuli/sentence_images/dedication/sentence3.jpg,stimuli/noise_images/dedication/noise3.jpg
12,Dedication,4,Her dedication mirrored her commitment.,dedication,4,14,stimuli/sentence_images/dedication/sentence4.jpg,stimuli/noise_images/dedication/noise4.jpg
12,Dedication,5,His dedication to her shows how faithful he is.,dedication,4,14,stimuli/sentence_images/dedication/sentence5.jpg,stimuli/noise_images/dedication/noise5.jpg
12,Dedication,6,Her loyal dedication is indisputable.,dedication,10,20,stimuli/sentence_images/dedication/sentence6.jpg,stimuli/noise_images/dedication/noise6.jpg
13,Great,1,The great experience became irresistible.,great,4,9,stimuli/sentence_images/great/sentence1.jpg,stimuli/noise_images/great/noise1.jpg
13,Great,2,You are great but aim to be terrific.,great,8,13,stimuli/sentence_images/great/sentence2.jpg,stimuli/noise_images/great/noise2.jpg
13,Great,3,The great waiter took care of his guests.,great,4,9,stimuli/sentence_images/great/sentence3.jpg,stimuli/noise_images/great/noise3.jpg
13,Great,4,The spectacular view made the room so great.,great,38,43,stimuli/sentence_images/great/sentence4.jpg,stimuli/noise_images/great/noise4.jpg
13,Great,5,The food is great and the service exceptional.,great,12,17,stimuli/sentence_images/great/sentence5.jpg,stimuli/noise_images/great/noise5.jpg
13,Great,6,It is amazing how great of a runner she is.,great,18,23,stimuli/sentence_images/great/sentence6.jpg,stimuli/noise_images/great/noise6.jpg
14,Illness,1,The illness spread across the country.,illness,4,11,stimuli/sentence_images/illness/sentence1.jpg,stimuli/noise_images/illness/noise1.jpg
14,Illness,2,His illness turned out to be the flu.,illness,4,11,stimuli/sentence_images/illness/sentence2.jpg,stimuli/noise_images/illness/noise2.jpg
14,Illness,3,The penicillin won't cure her illness.,illness,30,37,stimuli/sentence_images/illness/sentence3.jpg,stimuli/noise_images/illness/noise3.jpg
14,Illness,4,She contracted a stomach illness from the food.,illness,25,32,stimuli/sentence_images/illness/sentence4.jpg,stimuli/noise_images/illness/noise4.jpg
14,Illness,5,Typhoid is an illness that affected many people.,illness,14,21,stimuli/sentence_images/illness/sentence5.jpg,stimuli/noise_images/illness/noise5.jpg
14,Illness,6,He isn't susceptible to the illness.,illness,28,35,stimuli/sentence_images/illness/sentence6.jpg,stimuli/noise_images/illness/noise6.jpg
15,Prison,1,Another word for jail is prison.,prison,25,31,stimuli/sentence_images/prison/sentence1.jpg,stimuli/noise_images/prison/noise1.jpg
15,Prison,2,He got out of prison early on parole.,prison,14,20,stimuli/sentence_images/prison/sentence2.jpg,stimuli/noise_images/prison/noise2.jpg
15,Prison,3,"No longer a juvenile, he was sent to prison.",prison,37,43,stimuli/sentence_images/prison/sentence3.jpg,stimuli/noise_images/prison/noise3.jpg
15,Prison,4,She got probation and didn't go to prison.,prison,35,41,stimuli/sentence_images/prison/sentence4.jpg,stimuli/noise_images/prison/noise4.jpg
15,Prison,5,Sobriety is enforced in the prison.,prison,28,34,stimuli/sentence_images/prison/sentence5.jpg,stimuli/noise_images/prison/noise5.jpg
15,Prison,6,The interrogation took place in prison.,prison,32,38,stimuli/sentence_images/prison/sentence6.jpg,stimuli/noise_images/prison/noise6.jpg
16,Protection,1,She found security in his protection.,protection,26,36,stimuli/sentence_images/protection/sentence1.jpg,stimuli/noise_images/protection/noise1.jpg
16,Protection,2,Privacy means protection around here.,protection,14,24,stimuli/sentence_images/protection/sentence2.jpg,stimuli/noise_images/protection/noise2.jpg
16,Protection,3,He avoids calling protection services.,protection,18,28,stimuli/sentence_images/protection/sentence3.jpg,stimuli/noise_images/protection/noise3.jpg
16,Protection,4,The shield provided little protection.,protection,27,37,stimuli/sentence_images/protection/sentence4.jpg,stimuli/noise_images/protection/noise4.jpg
16,Protection,5,She feels safe with the given protection.,protection,30,40,stimuli/sentence_images/protection/sentence5.jpg,stimuli/noise_images/protection/noise5.jpg
16,Protection,6,He finds protection inside of the house.,protection,9,19,stimuli/sentence_images/protection/sentence6.jpg,stimuli/noise_images/protection/noise6.jpg
17,Crazy,1,His nightmare drove him crazy.,crazy,24,29,stimuli/sentence_images/crazy/sentence1.jpg,stimuli/noise_images/crazy/noise1.jpg
17,Crazy,2,The crazy taxi driver was freaky.,crazy,4,9,stimuli/sentence_images/crazy/sentence2.jpg,stimuli/noise_images/crazy/noise2.jpg
17,Crazy,3,The crazy animal looked bloodthirsty.,crazy,4,9,stimuli/sentence_images/crazy/sentence3.jpg,stimuli/noise_images/crazy/noise3.jpg
17,Crazy,4,The crazy demon was just grotesque.,crazy,4,9,stimuli/sentence_images/crazy/sentence4.jpg,stimuli/noise_images/crazy/noise4.jpg
17,Crazy,5,The ritual felt crazy and animalistic.,crazy,16,21,stimuli/sentence_images/crazy/sentence5.jpg,stimuli/noise_images/crazy/noise5.jpg
17,Crazy,6,This crazy dystopia was his new life.,crazy,5,10,stimuli/sentence_images/crazy/sentence6.jpg,stimuli/noise_images/crazy/noise6.jpg
18,Silly,1,The unrealistic proposal was just silly.,silly,34,39,stimuli/sentence_images/silly/sentence1.jpg,stimuli/noise_images/silly/noise1.jpg
18,Silly,2,The silly rumor was just absurd.,silly,4,9,stimuli/sentence_images/silly/sentence2.jpg,stimuli/noise_images/silly/noise2.jpg
18,Silly,3,The unsubstantiated claims are just silly.,silly,36,41,stimuli/sentence_images/silly/sentence3.jpg,stimuli/noise_images/silly/noise3.jpg
18,Silly,4,The play was ridiculous and silly.,silly,28,33,stimuli/sentence_images/silly/sentence4.jpg,stimuli/noise_images/silly/noise4.jpg
18,Silly,5,The overblown statistics sounded silly.,silly,33,38,stimuli/sentence_images/silly/sentence5.jpg,stimuli/noise_images/silly/noise5.jpg
18,Silly,6,The news story was silly and unfounded.,silly,19,24,stimuli/sentence_images/silly/sentence6.jpg,stimuli/noise_images/silly/noise6.jpg
19,Bed,1,She enjoyed sleeping in her own bed.,bed,32,35,stimuli/sentence_images/bed/sentence1.jpg,stimuli/noise_images/bed/noise1.jpg
19,Bed,2,The cot replaced the bed for the night.,bed,21,24,stimuli/sentence_images/bed/sentence2.jpg,stimuli/noise_images/bed/noise2.jpg
19,Bed,3,Napping in bed can be good for you.,bed,11,14,stimuli/sentence_images/bed/sentence3.jpg,stimuli/noise_images/bed/noise3.jpg
19,Bed,4,The toddler crawled onto the bed.,bed,29,32,stimuli/sentence_images/bed/sentence4.jpg,stimuli/noise_images/bed/noise4.jpg
19,Bed,5,The bed cushions sagged quickly.,bed,4,7,stimuli/sentence_images/bed/sentence5.jpg,stimuli/noise_images/bed/noise5.jpg
19,Bed,6,He took the blanket off of the bed.,bed,31,34,stimuli/sentence_images/bed/sentence6.jpg,stimuli/noise_images/bed/noise6.jpg
20,Challenge,1,This problem proved to be a challenge.,challenge,28,37,stimuli/sentence_images/challenge/sentence1.jpg,stimuli/noise_images/challenge/noise1.jpg
20,Challenge,2,The hardship is a challenge she will defeat.,challenge,18,27,stimuli/sentence_images/challenge/sentence2.jpg,stimuli/noise_images/challenge/noise2.jpg
20,Challenge,3,A challenge is an obstacle to overcome.,challenge,2,11,stimuli/sentence_images/challenge/sentence3.jpg,stimuli/noise_images/challenge/noise3.jpg
20,Challenge,4,The challenge's burden scared her.,challenge,4,13,stimuli/sentence_images/challenge/sentence4.jpg,stimuli/noise_images/challenge/noise4.jpg
20,Challenge,5,This challenge is critical for the team.,challenge,5,14,stimuli/sentence_images/challenge/sentence5.jpg,stimuli/noise_images/challenge/noise5.jpg
20,Challenge,6,Passing the challenge is a formidable feat.,challenge,12,21,stimuli/sentence_images/challenge/sentence6.jpg,stimuli/noise_images/challenge/noise6.jpg
21,Sign,1,The sign marked the entrance.,sign,4,8,stimuli/sentence_images/sign/sentence1.jpg,stimuli/noise_images/sign/noise1.jpg
21,Sign,2,The graffiti was a sign of his presence.,sign,19,23,stimuli/sentence_images/sign/sentence2.jpg,stimuli/noise_images/sign/noise2.jpg
21,Sign,3,This was a telltale sign of love.,sign,20,24,stimuli/sentence_images/sign/sentence3.jpg,stimuli/noise_images/sign/noise3.jpg
21,Sign,4,The sign was inscribed with rules.,sign,4,8,stimuli/sentence_images/sign/sentence4.jpg,stimuli/noise_images/sign/noise4.jpg
21,Sign,5,The sign fell from the roof with a swoosh.,sign,4,8,stimuli/sentence_images/sign/sentence5.jpg,stimuli/noise_images/sign/noise5.jpg
21,Sign,6,The sign hung from the billboard.,sign,4,8,stimuli/sentence_images/sign/sentence6.jpg,stimuli/noise_images/sign/noise6.jpg
22,Applause,1,The cheering drowned out the applause.,applause,29,37,stimuli/sentence_images/applause/sentence1.jpg,stimuli/noise_images/applause/noise1.jpg
22,Applause,2,The ruckus of the applause hurt her ears.,applause,18,26,stimuli/sentence_images/applause/sentence2.jpg,stimuli/noise_images/applause/noise2.jpg
22,Applause,3,The commotion of applause is infectious.,applause,17,25,stimuli/sentence_images/applause/sentence3.jpg,stimuli/noise_images/applause/noise3.jpg
22,Applause,4,Her applause was inhibited.,applause,4,12,stimuli/sentence_images/applause/sentence4.jpg,stimuli/noise_images/applause/noise4.jpg
22,Applause,5,He caught an earful of applause as he left.,applause,23,31,stimuli/sentence_images/applause/sentence5.jpg,stimuli/noise_images/applause/noise5.jpg
22,Applause,6,The rowdy crowd burst into applause.,applause,27,35,stimuli/sentence_images/applause/sentence6.jpg,stimuli/noise_images/applause/noise6.jpg
23,Broken,1,The broken mirror went missing.,broken,4,10,stimuli/sentence_images/broken/sentence1.jpg,stimuli/noise_images/broken/noise1.jpg
23,Broken,2,The broken leg made the table unstable.,broken,4,10,stimuli/sentence_images/broken/sentence2.jpg,stimuli/noise_images/broken/noise2.jpg
23,Broken,3,She dangerously teeters on the broken chair.,broken,31,37,stimuli/sentence_images/broken/sentence3.jpg,stimuli/noise_images/broken/noise3.jpg
23,Broken,4,The disorganized room is full of broken things.,broken,33,39,stimuli/sentence_images/broken/sentence4.jpg,stimuli/noise_images/broken/noise4.jpg
23,Broken,5,The computer was hopelessly broken.,broken,28,34,stimuli/sentence_images/broken/sentence5.jpg,stimuli/noise_images/broken/noise5.jpg
23,Broken,6,The door hung crooked after being broken.,broken,34,40,stimuli/sentence_images/broken/sentence6.jpg,stimuli/noise_images/broken/noise6.jpg
24,Garbage,1,The dumpster was full of garbage.,garbage,25,32,stimuli/sentence_images/garbage/sentence1.jpg,stimuli/noise_images/garbage/noise1.jpg
24,Garbage,2,He threw the rotten apple into the garbage.,garbage,35,42,stimuli/sentence_images/garbage/sentence2.jpg,stimuli/noise_images/garbage/noise2.jpg
24,Garbage,3,Trash is another word for garbage.,garbage,26,33,stimuli/sentence_images/garbage/sentence3.jpg,stimuli/noise_images/garbage/noise3.jpg
24,Garbage,4,The garbage begain to reek in the sun.,garbage,4,11,stimuli/sentence_images/garbage/sentence4.jpg,stimuli/noise_images/garbage/noise4.jpg
24,Garbage,5,The landfill is brimming with garbage.,garbage,30,37,stimuli/sentence_images/garbage/sentence5.jpg,stimuli/noise_images/garbage/noise5.jpg
24,Garbage,6,The sewer bubbled over into the garbage.,garbage,32,39,stimuli/sentence_images/garbage/sentence6.jpg,stimuli/noise_images/garbage/noise6.jpg
25,Poor,1,The young people were poor.,poor,22,26,stimuli/sentence_images/poor/sentence1.jpg,stimuli/noise_images/poor/noise1.jpg
25,Poor,2,The poor man felt powerless.,poor,4,8,stimuli/sentence_images/poor/sentence2.jpg,stimuli/noise_images/poor/noise2.jpg
25,Poor,3,The poor orphan wished for his parents.,poor,4,8,stimuli/sentence_images/poor/sentence3.jpg,stimuli/noise_images/poor/noise3.jpg
25,Poor,4,The poor woman is tormented by her faults.,poor,4,8,stimuli/sentence_images/poor/sentence4.jpg,stimuli/noise_images/poor/noise4.jpg
25,Poor,5,The poor girl became dependent again.,poor,4,8,stimuli/sentence_images/poor/sentence5.jpg,stimuli/noise_images/poor/noise5.jpg
25,Poor,6,The unlucky man quickly became poor.,poor,31,35,stimuli/sentence_images/poor/sentence6.jpg,stimuli/noise_images/poor/noise6.jpg
26,Bag,1,She wants to pack a bag for the day trip.,bag,20,23,stimuli/sentence_images/bag/sentence1.jpg,stimuli/noise_images/bag/noise1.jpg
26,Bag,2,He put is wallet in her bag.,bag,24,27,stimuli/sentence_images/bag/sentence2.jpg,stimuli/noise_images/bag/noise2.jpg
26,Bag,3,The leather bag fell from the shelf.,bag,12,15,stimuli/sentence_images/bag/sentence3.jpg,stimuli/noise_images/bag/noise3.jpg
26,Bag,4,He had a bag and a laptop to put in it.,bag,9,12,stimuli/sentence_images/bag/sentence4.jpg,stimuli/noise_images/bag/noise4.jpg
26,Bag,5,The trusty satchel was her favorite bag.,bag,36,39,stimuli/sentence_images/bag/sentence5.jpg,stimuli/noise_images/bag/noise5.jpg
26,Bag,6,The umbrella was too big for her bag.,bag,33,36,stimuli/sentence_images/bag/sentence6.jpg,stimuli/noise_images/bag/noise6.jpg
27,Show,1,The show was still on television.,show,4,8,stimuli/sentence_images/show/sentence1.jpg,stimuli/noise_images/show/noise1.jpg
27,Show,2,The show has one more episode next week.,show,4,8,stimuli/sentence_images/show/sentence2.jpg,stimuli/noise_images/show/noise2.jpg
27,Show,3,He thinks the show is a bit melodramatic.,show,14,18,stimuli/sentence_images/show/sentence3.jpg,stimuli/noise_images/show/noise3.jpg
27,Show,4,The humor of the show is slapstick comedy.,show,17,21,stimuli/sentence_images/show/sentence4.jpg,stimuli/noise_images/show/noise4.jpg
27,Show,5,She wants to reenact the storyline of the show.,show,42,46,stimuli/sentence_images/show/sentence5.jpg,stimuli/noise_images/show/noise5.jpg
27,Show,6,This show is older than that sitcom.,show,5,9,stimuli/sentence_images/show/sentence6.jpg,stimuli/noise_images/show/noise6.jpg
28,Food,1,She eats junk food on the weekends.,food,14,18,stimuli/sentence_images/food/sentence1.jpg,stimuli/noise_images/food/noise1.jpg
28,Food,2,He felt fat after eating that much food.,food,35,39,stimuli/sentence_images/food/sentence2.jpg,stimuli/noise_images/food/noise2.jpg
28,Food,3,The cat food today consisted of kibble.,food,8,12,stimuli/sentence_images/food/sentence3.jpg,stimuli/noise_images/food/noise3.jpg
28,Food,4,Her food has a lot of nutritional value.,food,4,8,stimuli/sentence_images/food/sentence4.jpg,stimuli/noise_images/food/noise4.jpg
28,Food,5,He was devouring his food as she spoke.,food,21,25,stimuli/sentence_images/food/sentence5.jpg,stimuli/noise_images/food/noise5.jpg
28,Food,6,The steakhouse serves vegetarian food.,food,33,37,stimuli/sentence_images/food/sentence6.jpg,stimuli/noise_images/food/noise6.jpg
29,Marriage,1,She got pregnant before her marriage.,marriage,28,36,stimuli/sentence_images/marriage/sentence1.jpg,stimuli/noise_images/marriage/noise1.jpg
29,Marriage,2,Dating sometimes leads to marriage.,marriage,26,34,stimuli/sentence_images/marriage/sentence2.jpg,stimuli/noise_images/marriage/noise2.jpg
29,Marriage,3,Girls fantasize about marriage after puberty.,marriage,22,30,stimuli/sentence_images/marriage/sentence3.jpg,stimuli/noise_images/marriage/noise3.jpg
29,Marriage,4,"She wants marriage, he wants to breakup.",marriage,10,18,stimuli/sentence_images/marriage/sentence4.jpg,stimuli/noise_images/marriage/noise4.jpg
29,Marriage,5,The newlywed talks about marriage for hours.,marriage,25,33,stimuli/sentence_images/marriage/sentence5.jpg,stimuli/noise_images/marriage/noise5.jpg
29,Marriage,6,You should get some marriage advice.,marriage,20,28,stimuli/sentence_images/marriage/sentence6.jpg,stimuli/noise_images/marriage/noise6.jpg
30,Kindness,1,He had respect for her kindness.,kindness,23,31,stimuli/sentence_images/kindness/sentence1.jpg,stimuli/noise_images/kindness/noise1.jpg
30,Kindness,2,You need kindness and loyalty in a friend.,kindness,9,17,stimuli/sentence_images/kindness/sentence2.jpg,stimuli/noise_images/kindness/noise2.jpg
30,Kindness,3,His manliness and kindness are irresistible.,kindness,18,26,stimuli/sentence_images/kindness/sentence3.jpg,stimuli/noise_images/kindness/noise3.jpg
30,Kindness,4,Her meekness outweighed her kindness.,kindness,28,36,stimuli/sentence_images/kindness/sentence4.jpg,stimuli/noise_images/kindness/noise4.jpg
30,Kindness,5,The direct nature of his kindness is gentlemanly.,kindness,25,33,stimuli/sentence_images/kindness/sentence5.jpg,stimuli/noise_images/kindness/noise5.jpg
30,Kindness,6,The school teachers piety and kindness.,kindness,30,38,stimuli/sentence_images/kindness/sentence6.jpg,stimuli/noise_images/kindness/noise6.jpg
31,Cook,1,Defrost the fish before you cook it.,cook,28,32,stimuli/sentence_images/cook/sentence1.jpg,stimuli/noise_images/cook/noise1.jpg
31,Cook,2,"If she wants to cook, she needs a fridge.",cook,16,20,stimuli/sentence_images/cook/sentence2.jpg,stimuli/noise_images/cook/noise2.jpg
31,Cook,3,He thought a pan was all he needed to cook.,cook,38,42,stimuli/sentence_images/cook/sentence3.jpg,stimuli/noise_images/cook/noise3.jpg
31,Cook,4,The steaming pot holds all she can cook.,cook,35,39,stimuli/sentence_images/cook/sentence4.jpg,stimuli/noise_images/cook/noise4.jpg
31,Cook,5,He thought you had to cook the dough.,cook,22,26,stimuli/sentence_images/cook/sentence5.jpg,stimuli/noise_images/cook/noise5.jpg
31,Cook,6,Warm up the stove to cook the stew.,cook,21,25,stimuli/sentence_images/cook/sentence6.jpg,stimuli/noise_images/cook/noise6.jpg
32,Dance,1,Just shuffle through the dance steps.,dance,25,30,stimuli/sentence_images/dance/sentence1.jpg,stimuli/noise_images/dance/noise1.jpg
32,Dance,2,She can dance in the ballroom course.,dance,8,13,stimuli/sentence_images/dance/sentence2.jpg,stimuli/noise_images/dance/noise2.jpg
